yyyymm,confidence,played,hit_races,hit_pct_races,total_invest,total_payout,roi_pct,umaren_a_hit,umaren_a_hit_pct,umaren_a_roi,umaren_b_hit,umaren_b_hit_pct,umaren_b_roi,wide_a_hit,wide_a_hit_pct,wide_a_roi,wide_b_hit,wide_b_hit_pct,wide_b_roi
202404,SS,82,33,40.24,32800,17760,54.15,13,15.85,70.98,8,9.76,63.90,19,23.17,54.27,10,12.20,27.44
202404,S,142,55,38.73,56800,36220,63.77,25,17.61,97.32,10,7.04,46.41,33,23.24,69.08,20,14.08,42.25
202404,A,264,91,34.47,105600,55980,53.01,33,12.50,67.20,26,9.85,60.76,44,16.67,46.70,35,13.26,37.39
202404,B,890,334,37.53,356000,214850,60.35,136,15.28,81.06,83,9.33,61.35,168,18.88,48.92,126,14.16,50.08
202404,C,82,36,43.90,32800,17420,53.11,13,15.85,87.32,5,6.10,21.34,21,25.61,53.41,15,18.29,50.37
202405,SS,82,38,46.34,32800,20570,62.71,12,14.63,55.73,12,14.63,72.80,22,26.83,55.24,23,28.05,67.07
202405,S,165,80,48.48,66000,43140,65.36,30,18.18,71.09,22,13.33,62.12,50,30.30,65.70,43,26.06,62.55
202405,A,213,98,46.01,85200,51460,60.40,29,13.62,52.39,27,12.68,60.61,71,33.33,73.94,47,22.07,54.65
202405,B,924,382,41.34,369600,256270,69.34,126,13.64,59.95,93,10.06,83.59,249,26.95,64.62,212,22.94,69.19
202405,C,103,49,47.57,41200,31850,77.31,19,18.45,74.95,12,11.65,81.26,37,35.92,91.94,24,23.30,61.07
202406,SS,104,62,59.62,41600,40950,98.44,21,20.19,75.96,17,16.35,141.35,41,39.42,80.00,31,29.81,96.44
202406,S,165,84,50.91,66000,43570,66.02,31,18.79,67.27,19,11.52,67.88,55,33.33,68.36,37,22.42,60.55
202406,A,226,107,47.35,90400,70050,77.49,36,15.93,73.98,24,10.62,74.69,71,31.42,79.60,61,26.99,81.68
202406,B,930,458,49.25,372000,264300,71.05,139,14.95,64.08,101,10.86,71.86,300,32.26,70.11,256,27.53,78.15
202406,C,143,73,51.05,57200,43200,75.52,28,19.58,119.44,16,11.19,47.20,50,34.97,77.76,39,27.27,57.69
202407,SS,110,48,43.64,44000,27220,61.86,14,12.73,59.91,8,7.27,42.55,32,29.09,71.82,25,22.73,73.18
202407,S,150,72,48.00,60000,40400,67.33,16,10.67,47.00,20,13.33,85.40,45,30.00,71.27,35,23.33,65.67
202407,A,224,90,40.18,89600,48430,54.05,31,13.84,52.99,17,7.59,47.95,61,27.23,57.32,48,21.43,57.95
202407,B,919,410,44.61,367600,308180,83.84,127,13.82,71.47,113,12.30,110.17,269,29.27,69.85,233,25.35,83.85
202407,C,162,84,51.85,64800,39920,61.60,23,14.20,55.12,19,11.73,50.12,54,33.33,72.35,47,29.01,68.83
202408,SS,68,35,51.47,27200,25020,91.99,12,17.65,113.68,10,14.71,100.44,20,29.41,73.82,18,26.47,80.00
202408,S,125,64,51.20,50000,38270,76.54,21,16.80,68.96,18,14.40,95.68,40,32.00,66.56,35,28.00,74.96
202408,A,213,93,43.66,85200,60830,71.40,28,13.15,75.12,23,10.80,68.97,64,30.05,79.67,48,22.54,61.83
202408,B,799,382,47.81,319600,234930,73.51,136,17.02,69.71,93,11.64,71.55,261,32.67,72.83,223,27.91,79.94
202408,C,144,73,50.69,57600,53320,92.57,22,15.28,67.36,26,18.06,136.60,52,36.11,80.14,46,31.94,86.18
202409,SS,78,42,53.85,31200,19380,62.12,11,14.10,55.26,10,12.82,50.90,26,33.33,66.03,23,29.49,76.28
202409,S,138,75,54.35,55200,47130,85.38,29,21.01,119.20,14,10.14,50.14,50,36.23,92.90,36,26.09,79.28
202409,A,239,114,47.70,95600,64120,67.07,36,15.06,56.28,22,9.21,72.01,78,32.64,70.88,56,23.43,69.12
202409,B,860,371,43.14,344000,221930,64.51,135,15.70,69.06,64,7.44,55.41,257,29.88,69.87,183,21.28,63.72
202409,C,130,72,55.38,52000,43960,84.54,22,16.92,85.92,15,11.54,78.92,55,42.31,105.38,35,26.92,67.92
202410,SS,94,61,64.89,37600,30000,79.79,22,23.40,92.34,10,10.64,54.47,47,50.00,107.87,24,25.53,64.47
202410,S,154,79,51.30,61600,43640,70.84,30,19.48,71.36,19,12.34,72.21,54,35.06,79.94,38,24.68,59.87
202410,A,261,142,54.41,104400,74340,71.21,53,20.31,72.07,32,12.26,60.19,95,36.40,78.97,71,27.20,73.60
202410,B,946,462,48.84,378400,284070,75.07,140,14.80,63.46,105,11.10,79.01,300,31.71,70.49,273,28.86,87.34
202410,C,102,47,46.08,40800,25190,61.74,13,12.75,51.76,8,7.84,63.33,31,30.39,76.18,24,23.53,55.69
202411,SS,87,50,57.47,34800,21750,62.50,15,17.24,57.01,8,9.20,44.14,31,35.63,81.72,24,27.59,67.13
202411,S,151,71,47.02,60400,39550,65.48,27,17.88,68.54,15,9.93,62.38,47,31.13,64.30,36,23.84,66.69
202411,A,234,118,50.43,93600,77100,82.37,40,17.09,74.15,29,12.39,103.21,77,32.91,75.64,65,27.78,76.50
202411,B,871,379,43.51,348400,223040,64.02,141,16.19,72.90,74,8.50,52.47,268,30.77,68.08,192,22.04,62.62
202411,C,69,41,59.42,27600,24600,89.13,9,13.04,45.65,13,18.84,123.77,24,34.78,91.74,25,36.23,95.36
202412,SS,78,43,55.13,31200,24520,78.59,16,20.51,101.41,12,15.38,79.49,28,35.90,85.90,16,20.51,47.56
202412,S,138,70,50.72,55200,44190,80.05,39,28.26,125.65,15,10.87,55.72,57,41.30,92.75,23,16.67,46.09
202412,A,245,125,51.02,98000,77840,79.43,45,18.37,90.41,22,8.98,67.63,87,35.51,81.43,64,26.12,78.24
202412,B,931,426,45.76,372400,252320,67.76,164,17.62,73.24,74,7.95,55.60,307,32.98,75.33,204,21.91,66.85
202412,C,51,23,45.10,20400,12200,59.80,7,13.73,83.14,7,13.73,55.10,14,27.45,56.08,14,27.45,44.90
202501,SS,107,62,57.94,42800,31630,73.90,23,21.50,86.45,12,11.21,59.53,45,42.06,92.90,28,26.17,56.73
202501,S,145,59,40.69,58000,33610,57.95,21,14.48,54.34,14,9.66,51.72,40,27.59,66.07,31,21.38,59.66
202501,A,184,92,50.00,73600,50140,68.12,22,11.96,40.65,24,13.04,70.33,53,28.80,81.41,58,31.52,80.11
202501,B,717,340,47.42,286800,207620,72.39,99,13.81,52.58,86,11.99,90.29,235,32.78,74.77,175,24.41,71.92
202501,C,40,20,50.00,16000,8850,55.31,9,22.50,68.00,3,7.50,16.00,15,37.50,87.75,10,25.00,49.50
202502,SS,109,55,50.46,43600,28520,65.41,18,16.51,45.60,16,14.68,66.15,32,29.36,60.37,34,31.19,89.54
202502,S,127,59,46.46,50800,30810,60.65,21,16.54,58.50,15,11.81,49.13,37,29.13,62.68,35,27.56,72.28
202502,A,185,92,49.73,74000,56240,76.00,34,18.38,76.54,23,12.43,79.89,64,34.59,77.19,47,25.41,70.38
202502,B,656,289,44.05,262400,195960,74.68,113,17.23,89.50,57,8.69,61.51,206,31.40,74.63,142,21.65,73.08
202502,C,43,14,32.56,17200,6410,37.27,5,11.63,39.30,3,6.98,26.98,10,23.26,36.98,8,18.60,45.81
202503,SS,116,63,54.31,46400,33110,71.36,22,18.97,83.97,15,12.93,54.40,35,30.17,63.45,36,31.03,83.62
202503,S,156,71,45.51,62400,49800,79.81,24,15.38,85.06,19,12.18,83.78,46,29.49,81.79,40,25.64,68.59
202503,A,234,113,48.29,93600,62680,66.97,40,17.09,72.09,27,11.54,56.88,65,27.78,56.41,71,30.34,82.48
202503,B,846,385,45.51,338400,259490,76.68,122,14.42,60.59,95,11.23,92.33,254,30.02,70.12,221,26.12,83.69
202503,C,59,27,45.76,23600,16650,70.55,5,8.47,74.07,9,15.25,66.61,16,27.12,64.24,16,27.12,77.29
202504,SS,120,57,47.50,48000,26060,54.29,20,16.67,51.83,13,10.83,40.75,40,33.33,69.67,29,24.17,54.92
202504,S,160,87,54.37,64000,51120,79.88,33,20.62,80.94,24,15.00,88.69,55,34.38,73.44,46,28.75,76.44
202504,A,215,108,50.23,86000,70390,81.85,35,16.28,59.53,32,14.88,119.16,66,30.70,68.56,61,28.37,80.14
202504,B,766,336,43.86,306400,208910,68.18,105,13.71,60.12,73,9.53,63.04,220,28.72,72.81,190,24.80,76.76
202504,C,50,26,52.00,20000,14990,74.95,9,18.00,77.20,6,12.00,60.80,15,30.00,68.60,14,28.00,93.20
202505,SS,122,49,40.16,48800,28010,57.40,18,14.75,55.82,10,8.20,54.34,34,27.87,57.05,24,19.67,62.38
202505,S,162,85,52.47,64800,49030,75.66,30,18.52,83.09,20,12.35,61.60,63,38.89,93.15,43,26.54,64.81
202505,A,262,136,51.91,104800,72780,69.45,54,20.61,84.27,24,9.16,52.25,93,35.50,75.38,65,24.81,65.88
202505,B,890,384,43.15,356000,244960,68.81,135,15.17,79.75,76,8.54,57.98,256,28.76,71.25,202,22.70,66.26
202505,C,90,42,46.67,36000,17550,48.75,10,11.11,41.67,8,8.89,35.44,27,30.00,55.22,26,28.89,62.67
202506,SS,76,35,46.05,30400,16660,54.80,7,9.21,26.32,9,11.84,68.55,19,25.00,48.68,22,28.95,75.66
202506,S,157,80,50.96,62800,48530,77.28,29,18.47,74.33,18,11.46,84.01,52,33.12,71.08,43,27.39,79.68
202506,A,209,98,46.89,83600,55200,66.03,31,14.83,65.45,19,9.09,56.56,67,32.06,76.70,47,22.49,65.41
202506,B,947,443,46.78,378800,301980,79.72,164,17.32,97.46,86,9.08,64.49,307,32.42,85.93,223,23.55,71.00
202506,C,102,60,58.82,40800,45480,111.47,17,16.67,141.67,17,16.67,134.71,37,36.27,81.96,40,39.22,87.55
202507,SS,75,29,38.67,30000,18990,63.30,10,13.33,49.73,10,13.33,84.67,19,25.33,54.93,18,24.00,63.87
202507,S,138,72,52.17,55200,42940,77.79,21,15.22,103.62,13,9.42,46.74,48,34.78,90.36,36,26.09,70.43
202507,A,221,116,52.49,88400,69690,78.83,35,15.84,78.60,26,11.76,74.80,69,31.22,70.90,71,32.13,91.04
202507,B,918,440,47.93,367200,282640,76.97,154,16.78,88.61,93,10.13,66.37,298,32.46,79.48,228,24.84,73.43
202507,C,126,69,54.76,50400,36190,71.81,22,17.46,61.27,18,14.29,71.19,42,33.33,57.78,46,36.51,96.98
202508,SS,72,36,50.00,28800,16040,55.69,10,13.89,53.75,8,11.11,46.53,23,31.94,62.78,18,25.00,59.72
202508,S,126,62,49.21,50400,40060,79.48,23,18.25,66.51,21,16.67,107.46,37,29.37,62.94,38,30.16,81.03
202508,A,210,105,50.00,84000,71860,85.55,34,16.19,105.19,22,10.48,60.95,70,33.33,91.33,57,27.14,84.71
202508,B,841,396,47.09,336400,247190,73.48,144,17.12,80.52,72,8.56,64.93,273,32.46,77.27,203,24.14,71.20
202508,C,122,64,52.46,48800,32450,66.50,22,18.03,65.33,16,13.11,66.15,40,32.79,71.07,36,29.51,63.44
202509,SS,71,35,49.30,28400,19720,69.44,19,26.76,99.86,6,8.45,46.06,28,39.44,73.52,14,19.72,58.31
202509,S,118,59,50.00,47200,37520,79.49,23,19.49,97.97,9,7.63,50.76,44,37.29,87.88,30,25.42,81.36
202509,A,201,91,45.27,80400,48690,60.56,37,18.41,64.53,19,9.45,53.48,65,32.34,67.11,46,22.89,57.11
202509,B,942,434,46.07,376800,262830,69.75,138,14.65,59.34,109,11.57,78.08,291,30.89,67.82,242,25.69,73.77
202509,C,127,69,54.33,50800,32120,63.23,27,21.26,68.98,11,8.66,35.43,48,37.80,75.91,38,29.92,72.60
202510,SS,75,41,54.67,30000,22890,76.30,20,26.67,96.40,9,12.00,54.27,28,37.33,88.67,18,24.00,65.87
202510,S,176,94,53.41,70400,68020,96.62,28,15.91,82.73,25,14.20,111.53,61,34.66,79.94,58,32.95,112.27
202510,A,257,132,51.36,102800,66530,64.72,44,17.12,58.64,33,12.84,60.08,93,36.19,74.75,67,26.07,65.41
202510,B,951,479,50.37,380400,285470,75.04,186,19.56,79.86,98,10.30,66.53,341,35.86,76.55,248,26.08,77.23
202510,C,107,64,59.81,42800,34070,79.60,26,24.30,110.28,9,8.41,55.14,48,44.86,95.51,30,28.04,57.48
202511,SS,81,41,50.62,32400,22990,70.96,16,19.75,62.84,9,11.11,74.20,26,32.10,71.36,19,23.46,75.43
202511,S,148,78,52.70,59200,37230,62.89,28,18.92,89.32,6,4.05,22.97,54,36.49,84.39,33,22.30,54.86
202511,A,216,98,45.37,86400,52070,60.27,36,16.67,71.94,17,7.87,48.33,68,31.48,68.15,44,20.37,52.64
202511,B,899,443,49.28,359600,261140,72.62,158,17.58,74.30,93,10.34,63.25,293,32.59,73.01,252,28.03,79.91
202511,C,83,49,59.04,33200,29010,87.38,14,16.87,94.10,14,16.87,74.34,32,38.55,92.29,28,33.73,88.80
202512,SS,70,43,61.43,28000,25650,91.61,16,22.86,98.86,12,17.14,81.57,22,31.43,69.14,26,37.14,116.86
202512,S,133,61,45.86,53200,31130,58.52,26,19.55,86.32,9,6.77,29.47,44,33.08,72.86,27,20.30,45.41
202512,A,230,115,50.00,92000,78470,85.29,34,14.78,52.52,31,13.48,101.04,73,31.74,62.78,67,29.13,124.83
202512,B,922,434,47.07,368800,276650,75.01,172,18.66,83.55,94,10.20,71.82,329,35.68,78.69,217,23.54,66.00
202512,C,69,36,52.17,27600,22780,82.54,10,14.49,63.62,13,18.84,111.59,22,31.88,66.81,23,33.33,88.12
202601,SS,76,42,55.26,30400,24840,81.71,11,14.47,68.16,9,11.84,53.03,31,40.79,144.08,17,22.37,61.58
202601,S,129,61,47.29,51600,36960,71.63,21,16.28,102.02,13,10.08,34.03,37,28.68,73.88,33,25.58,76.59
202601,A,176,73,41.48,70400,47900,68.04,32,18.18,77.10,16,9.09,67.90,48,27.27,60.06,37,21.02,67.10
202601,B,750,334,44.53,300000,224740,74.91,110,14.67,78.23,69,9.20,60.19,218,29.07,83.55,170,22.67,77.69
202601,C,67,30,44.78,26800,15060,56.19,10,14.93,65.52,5,7.46,32.24,21,31.34,92.54,13,19.40,34.48
202602,SS,86,42,48.84,34400,24250,70.49,16,18.60,86.98,8,9.30,55.47,28,32.56,71.40,22,25.58,68.14
202602,S,92,48,52.17,36800,29910,81.28,14,15.22,47.93,13,14.13,100.11,33,35.87,89.02,30,32.61,88.04
202602,A,155,82,52.90,62000,67930,109.56,29,18.71,82.45,21,13.55,136.90,48,30.97,81.55,52,33.55,137.35
202602,B,661,301,45.54,264400,216850,82.02,112,16.94,112.53,65,9.83,63.98,209,31.62,81.38,159,24.05,70.18
202602,C,41,17,41.46,16400,9320,56.83,5,12.20,42.68,2,4.88,73.90,13,31.71,68.54,5,12.20,42.20
202603,SS,102,50,49.02,40800,21010,51.50,8,7.84,18.73,12,11.76,60.00,29,28.43,57.55,26,25.49,69.71
202603,S,168,99,58.93,67200,68360,101.73,39,23.21,98.51,20,11.90,95.60,70,41.67,98.27,50,29.76,114.52
202603,A,245,133,54.29,98000,77660,79.24,43,17.55,62.33,26,10.61,69.14,94,38.37,90.82,77,31.43,94.69
202603,B,890,417,46.85,356000,290670,81.65,152,17.08,78.25,90,10.11,81.22,289,32.47,90.18,220,24.72,76.94
202603,C,58,33,56.90,23200,16810,72.46,7,12.07,42.93,8,13.79,82.59,17,29.31,65.69,21,36.21,98.62
202604,SS,96,47,48.96,38400,32260,84.01,17,17.71,85.00,11,11.46,85.21,30,31.25,71.67,29,30.21,94.17
202604,S,137,66,48.18,54800,67290,122.79,16,11.68,45.04,22,16.06,220.36,43,31.39,116.93,39,28.47,108.83
202604,A,221,102,46.15,88400,69380,78.48,30,13.57,81.00,20,9.05,58.33,73,33.03,82.85,53,23.98,91.76
202604,B,772,360,46.63,308800,262310,84.94,131,16.97,102.33,68,8.81,66.80,251,32.51,84.38,185,23.96,86.27
202604,C,79,42,53.16,31600,28070,88.83,11,13.92,46.08,10,12.66,89.49,34,43.04,114.05,24,30.38,105.70
